process_id,event_type,event_time,user,executable_path,src_ip,dst_ip,src_port,dst_port,file_path,operation,registry_key,value_name,value_data
100,process,2025-03-01 09:00:00,SYSTEM,C:/Windows/System32/explorer.exe,,,,,,,,,
2139,process,2025-03-01 09:05:26,user1,C:/Windows/SysWOW64/svchost.exe,,,,,,,,,
2654,process,2025-03-01 09:43:23,johndoe,C:/Program Files/winword.exe,,,,,,,,,
3664,process,2025-03-01 09:45:45,admin,C:/Program Files/calc.exe,,,,,,,,,
6168,process,2025-03-01 09:14:24,johndoe,C:/Program Files/chrome.exe,,,,,,,,,
7543,process,2025-03-01 09:34:47,admin,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
1771,process,2025-03-01 09:54:04,janedoe,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
2040,process,2025-03-01 09:31:57,johndoe,C:/Program Files (x86)/msedge.exe,,,,,,,,,
1188,process,2025-03-01 09:51:15,johndoe,C:/Windows/System32/excel.exe,,,,,,,,,
2827,process,2025-03-01 09:30:58,johndoe,C:/Program Files (x86)/explorer.exe,,,,,,,,,
9201,process,2025-03-01 09:07:15,johndoe,C:/Windows/SysWOW64/excel.exe,,,,,,,,,
9317,process,2025-03-01 09:52:03,admin,C:/Windows/SysWOW64/cmd.exe,,,,,,,,,
6310,process,2025-03-01 09:24:46,johndoe,C:/Windows/System32/chrome.exe,,,,,,,,,
4923,process,2025-03-01 09:05:22,janedoe,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
2133,process,2025-03-01 09:45:02,user1,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
5342,process,2025-03-01 09:14:27,user1,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
6107,process,2025-03-01 09:35:19,admin,C:/Program Files/winword.exe,,,,,,,,,
5061,process,2025-03-01 09:01:26,user1,C:/Windows/System32/cmd.exe,,,,,,,,,
4608,process,2025-03-01 09:15:37,admin,C:/Windows/System32/notepad.exe,,,,,,,,,
6413,process,2025-03-01 09:19:00,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/calc.exe,,,,,,,,,
4510,process,2025-03-01 09:39:20,user1,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
6804,process,2025-03-01 09:58:58,admin,C:/Program Files (x86)/winword.exe,,,,,,,,,
2612,process,2025-03-01 09:54:39,admin,C:/Program Files (x86)/cmd.exe,,,,,,,,,
5073,process,2025-03-01 09:30:37,janedoe,C:/Windows/SysWOW64/excel.exe,,,,,,,,,
4006,process,2025-03-01 09:59:41,janedoe,C:/Program Files (x86)/calc.exe,,,,,,,,,
2604,process,2025-03-01 09:06:22,user1,C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe,,,,,,,,,
3724,process,2025-03-01 09:14:35,janedoe,C:/Program Files (x86)/winword.exe,,,,,,,,,
1960,process,2025-03-01 09:26:39,janedoe,C:/Program Files (x86)/notepad.exe,,,,,,,,,
5673,process,2025-03-01 09:10:34,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
4566,process,2025-03-01 09:04:09,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/excel.exe,,,,,,,,,
1936,process,2025-03-01 09:34:19,user1,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
1931,process,2025-03-01 09:04:40,admin,C:/Windows/System32/explorer.exe,,,,,,,,,
4853,process,2025-03-01 09:16:48,admin,C:/Windows/System32/msedge.exe,,,,,,,,,
2343,process,2025-03-01 09:35:41,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
4346,process,2025-03-01 09:27:01,johndoe,C:/Windows/SysWOW64/svchost.exe,,,,,,,,,
8491,process,2025-03-01 09:31:17,admin,C:/Windows/System32/notepad.exe,,,,,,,,,
2200,process,2025-03-01 09:18:06,johndoe,C:/Windows/SysWOW64/excel.exe,,,,,,,,,
2127,process,2025-03-01 09:10:46,johndoe,C:/Program Files/svchost.exe,,,,,,,,,
9666,process,2025-03-01 09:45:17,user1,C:/Users/JohnDoe/AppData/Local/Programs/svchost.exe,,,,,,,,,
5333,process,2025-03-01 09:10:36,johndoe,C:/Windows/System32/excel.exe,,,,,,,,,
