process_id,parent_id,start_time,end_time,executable_path,user,command_line
100,0,2025-03-01 09:00:00,2025-03-01 10:00:00,C:/Windows/System32/explorer.exe,SYSTEM,"""C:/Windows/System32/explorer.exe"""
2139,100,2025-03-01 09:05:26,2025-03-01 10:56:46,C:/Windows/SysWOW64/svchost.exe,user1,"""C:/Windows/SysWOW64/svchost.exe"""
2654,2139,2025-03-01 09:43:23,2025-03-01 10:53:53,C:/Program Files/winword.exe,johndoe,"""C:/Program Files/winword.exe"""
3664,2654,2025-03-01 09:45:45,2025-03-01 09:36:27,C:/Program Files/calc.exe,admin,"""C:/Program Files/calc.exe"""
3803,3803,2025-03-01 09:31:33,2025-03-01 09:51:48,C:/Windows/SysWOW64/explorer.exe,johndoe,"""C:/Windows/SysWOW64/explorer.exe"""
4598,4598,2025-03-01 09:15:38,2025-03-01 10:52:12,C:/Program Files/notepad.exe,admin,"""C:/Program Files/notepad.exe"""
6168,3664,2025-03-01 09:14:24,2025-03-01 10:17:26,C:/Program Files/chrome.exe,johndoe,"""C:/Program Files/chrome.exe"""
4483,4483,2025-03-01 09:09:45,2025-03-01 09:36:09,C:/Program Files (x86)/winword.exe,user1,"""C:/Program Files (x86)/winword.exe"""
5040,5040,2025-03-01 09:50:59,2025-03-01 10:19:48,C:/Users/JohnDoe/AppData/Local/Programs/svchost.exe,janedoe,"""C:/Users/JohnDoe/AppData/Local/Programs/svchost.exe"""
7543,4598,2025-03-01 09:34:47,2025-03-01 10:07:22,C:/Windows/SysWOW64/explorer.exe,admin,"""C:/Windows/SysWOW64/explorer.exe"""
1771,2139,2025-03-01 09:54:04,2025-03-01 10:32:54,C:/Windows/SysWOW64/explorer.exe,janedoe,"""C:/Windows/SysWOW64/explorer.exe"""
2040,6168,2025-03-01 09:31:57,2025-03-01 10:12:14,C:/Program Files (x86)/msedge.exe,johndoe,"""C:/Program Files (x86)/msedge.exe"""
1188,1771,2025-03-01 09:51:15,2025-03-01 09:36:25,C:/Windows/System32/excel.exe,johndoe,"""C:/Windows/System32/excel.exe"""
2827,3803,2025-03-01 09:30:58,2025-03-01 09:00:26,C:/Program Files (x86)/explorer.exe,johndoe,"""C:/Program Files (x86)/explorer.exe"""
9201,1188,2025-03-01 09:07:15,2025-03-01 10:58:51,C:/Windows/SysWOW64/excel.exe,johndoe,"""C:/Windows/SysWOW64/excel.exe"""
9317,6168,2025-03-01 09:52:03,2025-03-01 09:22:03,C:/Windows/SysWOW64/cmd.exe,admin,"""C:/Windows/SysWOW64/cmd.exe"""
6310,9317,2025-03-01 09:24:46,2025-03-01 10:59:58,C:/Windows/System32/chrome.exe,johndoe,"""C:/Windows/System32/chrome.exe"""
4923,2139,2025-03-01 09:05:22,2025-03-01 09:11:41,C:/Windows/SysWOW64/msedge.exe,janedoe,"""C:/Windows/SysWOW64/msedge.exe"""
2133,4923,2025-03-01 09:45:02,2025-03-01 10:04:53,C:/Windows/SysWOW64/explorer.exe,user1,"""C:/Windows/SysWOW64/explorer.exe"""
5342,6310,2025-03-01 09:14:27,2025-03-01 10:13:37,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,user1,"""C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe"""
6107,1188,2025-03-01 09:35:19,2025-03-01 10:01:38,C:/Program Files/winword.exe,admin,"""C:/Program Files/winword.exe"""
5061,4483,2025-03-01 09:01:26,2025-03-01 10:20:19,C:/Windows/System32/cmd.exe,user1,"""C:/Windows/System32/cmd.exe"""
4608,100,2025-03-01 09:15:37,2025-03-01 09:09:12,C:/Windows/System32/notepad.exe,admin,"""C:/Windows/System32/notepad.exe"""
6413,2654,2025-03-01 09:19:00,2025-03-01 10:31:20,C:/Users/JohnDoe/AppData/Local/Programs/calc.exe,janedoe,"""C:/Users/JohnDoe/AppData/Local/Programs/calc.exe"""
